276,በአይን ውሰጥ ባዕድ አካል ቢገባ የድገተኛ አደጋ እርዳታ መጥራት እንጂ ለማውጣት መሞከር አይገባም,ሀ. እውነት,ለ. ሀሰት,,,,ሀ
277,አይን ሲጐዳ መደረግ ያለበት,ሀ. ማሸት,ለ. መጫን,ሐ. በረዶ ማድረግ,መ. መልሱ የለም,,መ
278,በቃጠሎ ምክንያት አካል ውሃ ሲቋጥር,ሀ. አንቲባዩቲክ ጄል መቀባት,ለ. ክሬም መቀባት,ሐ. ስቴራላይዝድ በሆነ ነገር መሸፈን,መ. ሁሉም,,መ
279,የህክምና እርዳታ የሚፈልግ ቁስል ከመነካካት ይልቅ በንፁህ ጨርቅ በመሸፈን የህክምና ባለሙያ ማሳየት ይገባል፡፡,ሀ. እውነት,ለ. ሀሰት,,,,ሀ
280,ጥቁሩ የአይን ክፍል ሲጐዳ በአይን ዙሪያ በሚገኝ አጥንት ላይ በረዶ ማድረግ አስፈለጊ ነው,ሀ. እውነት,ለ. ሀሰት,,,,ሀ
281,የስብራት ጉዳት አይነት ያልሆነው የቱ ነው?,ሀ. ዝግ ሰብራት,ለ. ክፍት ሰብራት,ሐ. የተዘበራረቀ ሰብራት,መ. መልሱ የለም,,መ
282,የመድማትና የመቁሰል ምልክት የሚያሣይ የስብራት አይነት የቱ ነው?,ሀ. ክፍት ስብራት,,ሐ. የተዘበራረቀ ስብራት,መ. ሁሉም,,ሀ
283,የደም ስሮችንና ነርቭን የሚጐዳ የስብራት አይነት የቱ ነው?,ሀ. ዝግ ስብራት,,ሐ. ክፍት ስብራት,መ. ሁሉም መልሰ,,ለ
284,የመቁሰል ወይም የመድማት ምልክት የሚያሣይ ስብራት ዓይነት ዝግ ስብራት ይባላል,ሀ. እውነት,ለ. ሀሰት,,,,ለ
285,በእሳት፣ በብረት፣ በጋለ እቃ የሚከሰት የቃጠሎ አይነት,ሀ. ርጥብ ቀጥሎ,ለ. ደረቅ ቀጥሎ,ሐ. የመርዝ ቀጥሎ,መ. መልሰ የለም,,ለ
286,የመርዝ ቃጠሎ የሚባለው በፈላ ወሃና ቅባት የሚከሰት ነው,ሀ. እውነት,ለ. ሀሰት,,,,ለ
287,የአደጋ ክስተት ሪፖርት ከሚያካትታቸው መረጃዎች ውሰጥ የማይካተተው የቱ ነው?,ሀ. የአደጋ ውጤት,ለ. የጉዳት አይነት,ሐ. የአደጋ መነሻ,መ. መልሱ የለም,,መ
